               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12274,             0.15366,                   0,          0.00083333,           0.0020833,          0.00079798,          0.00024903,             0.11337,             0.19784,                   0,            0.070857,           0.0032381,           0.0032381
                   1,             0.11921,             0.17002,                   0,           0.0011111,           0.0020833,          0.00058712,          0.00023819,             0.11152,             0.20121,                   0,            0.040814,           0.0065281,           0.0065281
                   2,             0.11729,             0.16993,                   0,           0.0016667,           0.0041667,           0.0008437,          0.00027386,             0.11063,             0.20275,                   0,            0.010726,            0.009774,            0.009774
                   3,             0.11796,             0.14725,                   0,           0.0016667,           0.0041667,          0.00084388,          0.00025579,             0.10961,             0.20111,                   0,            0.009802,            0.009802,            0.009802
                   4,             0.11711,             0.15463,                   0,               0.035,              0.0875,            0.021922,           0.0059086,             0.10999,             0.15866,                   0,            0.009802,            0.009802,            0.009802
                   5,             0.11683,             0.13553,                   0,           0.0063444,             0.01875,           0.0032672,           0.0009928,              0.1417,              3.7598,                   0,            0.009736,            0.009736,            0.009736
                   6,             0.11294,             0.13902,                   0,           0.0077593,            0.027083,           0.0040651,           0.0011244,             0.14411,              5.9949,                   0,             0.00967,             0.00967,             0.00967
                   7,             0.10996,             0.14775,                   0,           0.0036111,            0.013542,           0.0018331,          0.00053502,             0.14618,              7.6247,                   0,            0.009604,            0.009604,            0.009604
                   8,             0.10678,             0.14161,                   0,           0.0047315,            0.015625,           0.0023131,          0.00044492,             0.13871,              1.0483,                   0,            0.009538,            0.009538,            0.009538
                   9,              0.1019,             0.14344,                   0,             0.01299,            0.041667,           0.0063843,           0.0017261,             0.13169,             0.93901,                   0,            0.009472,            0.009472,            0.009472
                  10,             0.10341,             0.14461,                   0,            0.070644,            0.095833,            0.029949,           0.0086913,             0.13383,             0.23943,                   0,            0.009406,            0.009406,            0.009406
                  11,             0.10468,             0.14012,                   0,            0.099438,             0.13229,            0.041076,           0.0098979,             0.12396,              0.3619,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.094215,             0.16279,                   0,            0.075981,             0.14896,            0.039206,            0.010838,             0.11801,             0.43948,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.090669,             0.16347,                   0,             0.14442,             0.22708,             0.08373,             0.02396,            0.085819,             0.16705,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.091746,             0.15039,                   0,             0.23661,             0.25833,             0.12734,            0.032862,            0.085965,              0.1498,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.092262,             0.15504,                   0,             0.13076,             0.19375,            0.066287,            0.021612,             0.10756,             0.19633,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.097455,             0.14019,                   0,             0.45721,             0.27813,             0.25101,             0.08414,            0.079629,              0.1562,                   0,             0.00901,             0.00901,             0.00901
                  17,             0.08472,             0.14884,                   0,             0.28645,             0.32396,             0.18687,            0.068685,            0.074927,             0.13964,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.083023,             0.15581,                   0,             0.27701,             0.38125,             0.21439,            0.075803,            0.071927,             0.14228,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.083367,             0.14845,                   0,               0.276,              0.4125,              0.2403,            0.085741,            0.078483,             0.13365,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.083589,             0.14406,                   0,             0.23059,             0.35871,             0.19221,            0.067535,            0.087273,             0.12963,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.084897,             0.14602,                   0,             0.51874,             0.45104,             0.47104,             0.16851,            0.068662,              0.1351,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.079925,             0.15099,                   0,             0.42879,             0.41208,             0.32815,             0.12683,            0.067112,             0.13476,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.080197,             0.14701,                   0,             0.41978,             0.51472,             0.42387,              0.1696,            0.071308,             0.13673,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.076491,             0.13254,                   0,             0.29826,             0.51359,             0.28919,              0.1157,            0.068859,             0.13514,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.076097,             0.15145,                   0,             0.34647,             0.48125,             0.33361,             0.13069,            0.069648,             0.14672,                   0,            0.008416,            0.008416,            0.008416
                  26,             0.07386,              0.1453,                   0,             0.30092,             0.52396,             0.29771,             0.11829,            0.072845,             0.12767,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.079309,             0.12909,                   0,             0.48781,             0.63098,             0.42434,             0.14834,            0.079891,             0.10833,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.082676,             0.12425,                   0,               0.602,             0.61771,             0.58427,             0.21299,            0.073823,             0.10648,                   0,            0.008218,            0.008218,            0.008218
                  29,             0.08041,             0.11178,                   0,             0.69219,             0.56354,             0.58168,             0.21197,            0.072076,             0.10659,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.080033,               0.109,                   0,             0.42201,             0.66354,             0.47078,             0.19453,            0.078953,             0.10042,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.080376,             0.11489,                   0,             0.64261,             0.67708,             0.68063,             0.29915,            0.069834,             0.10884,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.077399,             0.12027,                   0,             0.58797,             0.68437,             0.60611,             0.27053,            0.067896,             0.10532,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.077232,              0.1123,                   0,             0.68503,             0.67738,             0.70856,             0.25956,            0.066155,             0.10853,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.076604,              0.1106,                   0,             0.56541,             0.65833,             0.55181,             0.21037,            0.068172,             0.10296,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.075398,              0.1127,                   0,             0.49387,               0.625,             0.54179,             0.22437,            0.075799,             0.10379,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.073218,             0.11897,                   0,             0.60214,               0.725,             0.69206,               0.311,            0.068471,             0.10484,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.074044,             0.11995,                   0,             0.75064,             0.59792,             0.66033,             0.24671,            0.070719,             0.11064,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.074926,             0.11127,                   0,             0.87035,             0.74823,             0.85413,             0.38024,            0.062221,             0.10081,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.071736,             0.11461,                   0,             0.83411,             0.75104,             0.83118,             0.35767,            0.063786,            0.097897,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.071768,             0.10976,                   0,             0.54534,             0.65312,             0.56707,             0.18385,            0.071977,            0.097153,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.073711,             0.10888,                   0,             0.50799,             0.73854,             0.57528,             0.22896,            0.072256,             0.10485,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.074511,             0.11572,                   0,             0.83227,             0.78333,             0.85289,              0.3636,            0.062126,             0.10632,                   0,            0.007294,            0.007294,            0.007294
                  43,             0.06963,             0.11455,                   0,             0.81812,             0.73021,             0.81811,             0.36411,            0.063298,             0.10065,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.068791,             0.11086,                   0,             0.66267,             0.74167,             0.70416,             0.29208,             0.06547,            0.097925,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.069869,             0.11086,                   0,              0.6938,             0.77917,             0.77369,             0.33881,            0.064158,            0.098515,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.068122,             0.11162,                   0,             0.84067,             0.73542,             0.80842,             0.32144,            0.062872,             0.10044,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.067247,             0.11235,                   0,              0.6829,             0.66851,             0.66697,             0.27914,            0.069339,             0.10995,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.068526,             0.11552,                   0,             0.63081,             0.72813,             0.63642,             0.30073,            0.058775,             0.10434,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.065469,              0.1236,                   0,              0.7128,             0.75104,              0.7199,             0.32425,             0.05738,             0.10774,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.063105,             0.12752,                   0,              0.6978,              0.7125,             0.73909,             0.34759,            0.058356,              0.1109,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.064132,             0.11908,                   0,             0.73414,               0.675,             0.76047,             0.31018,            0.062195,             0.10761,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.059784,              0.1238,                   0,             0.83034,             0.76562,             0.85416,              0.4096,            0.050809,             0.10516,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.059672,             0.12105,                   0,              0.8126,             0.79583,             0.86272,             0.38672,             0.05099,             0.10472,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.058782,             0.12558,                   0,             0.72615,             0.78021,               0.781,             0.36246,            0.046573,             0.10751,                   0,            0.006502,            0.006502,            0.006502
                  55,             0.05769,             0.13015,                   0,             0.78852,             0.78542,             0.84525,             0.39663,            0.048317,             0.10603,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.058733,              0.1242,                   0,              0.8556,              0.7962,             0.86585,             0.37788,            0.048978,             0.10467,                   0,             0.00637,             0.00637,             0.00637
                  57,             0.05617,               0.126,                   0,             0.79613,              0.7875,             0.81213,             0.37094,            0.050582,             0.10655,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.059082,             0.12212,                   0,             0.67733,             0.80208,             0.71293,             0.33752,            0.053882,             0.10719,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.060589,             0.12561,                   0,             0.88964,             0.78092,              0.8787,             0.38633,            0.049954,              0.1057,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.057467,             0.11536,                   0,             0.75835,             0.76146,             0.81065,             0.39724,            0.049276,             0.10931,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.057673,             0.11884,                   0,             0.88061,             0.79063,             0.87474,             0.36618,             0.05085,             0.10548,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.056391,              0.1269,                   0,             0.78642,             0.77861,             0.84055,             0.41208,            0.047162,             0.10404,                   0,            0.005974,            0.005974,            0.005974
                  63,             0.06012,             0.12344,                   0,             0.76367,             0.74726,             0.78637,             0.27198,            0.057534,             0.10778,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.060127,             0.12046,                   0,             0.90155,             0.83945,             0.91321,             0.45731,            0.044883,             0.10182,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.055949,             0.12117,                   0,              0.8494,             0.79167,             0.85194,             0.35811,            0.053166,             0.10635,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.056327,             0.11319,                   0,             0.76195,             0.83021,             0.79075,             0.39744,            0.045775,             0.10322,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.054429,             0.12143,                   0,             0.87825,             0.83125,             0.90208,             0.44533,            0.044922,             0.10773,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.052806,             0.11865,                   0,             0.89259,             0.82239,             0.90137,             0.42999,            0.046515,             0.10406,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.056349,             0.11956,                   0,             0.89623,             0.80969,             0.89521,             0.44892,            0.047579,             0.10544,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.055252,             0.12518,                   0,             0.89004,             0.81787,             0.89768,             0.45485,            0.045233,             0.10323,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.056331,             0.11218,                   0,             0.88297,             0.82812,             0.90763,             0.46457,            0.044437,             0.10221,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.055353,              0.1097,                   0,             0.90503,             0.82396,             0.91123,             0.44836,            0.049213,             0.10069,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.052703,             0.10793,                   0,              0.9201,             0.81568,             0.91638,             0.46604,            0.045115,             0.10197,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.052635,             0.11714,                   0,              0.8845,             0.81366,             0.89628,             0.43298,            0.046719,             0.10256,                   0,            0.005182,            0.005182,            0.005182
                  75,             0.05543,              0.1226,                   0,             0.86983,             0.81441,             0.89563,             0.45165,            0.045889,             0.10134,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.052556,             0.11178,                   0,             0.87902,             0.84012,             0.91117,             0.45997,            0.043386,            0.099022,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.053276,             0.12584,                   0,             0.92197,             0.83691,              0.9234,                0.47,            0.043438,             0.10585,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.051615,             0.11171,                   0,             0.90428,              0.8125,             0.90809,              0.4627,            0.045915,             0.10102,                   0,            0.004918,            0.004918,            0.004918
                  79,             0.05434,             0.12261,                   0,             0.90934,              0.8254,             0.91413,             0.44983,            0.048113,             0.10017,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.056288,             0.12035,                   0,             0.85915,             0.81146,             0.89603,             0.45119,            0.046992,             0.10643,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.052547,             0.11822,                   0,             0.92944,             0.80955,             0.92128,             0.46906,            0.044303,             0.10322,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.052004,             0.12747,                   0,             0.90823,             0.82476,             0.92552,             0.46645,             0.04488,             0.10047,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.052604,             0.12094,                   0,             0.92131,             0.85833,             0.93586,             0.48399,            0.043637,             0.10016,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.052203,             0.11327,                   0,             0.90695,             0.82244,             0.91264,             0.43866,            0.047434,             0.10062,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.053128,             0.11502,                   0,             0.90594,             0.84279,              0.9209,             0.47453,             0.04207,            0.096847,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.051072,             0.10533,                   0,             0.89972,             0.84896,             0.92321,             0.46766,            0.042373,            0.097967,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.052499,             0.12333,                   0,             0.91906,             0.83333,             0.92103,             0.47803,            0.043025,            0.097219,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.052219,             0.11354,                   0,             0.91639,             0.81354,             0.91755,             0.46715,            0.044426,            0.099608,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.051719,             0.11714,                   0,             0.92537,             0.85246,             0.92997,             0.47178,            0.043408,             0.10334,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.050766,             0.12376,                   0,             0.91766,             0.83542,             0.91295,             0.45044,            0.044982,             0.10004,                   0,            0.004126,            0.004126,            0.004126
                  91,             0.05132,             0.11213,                   0,             0.93727,             0.82494,             0.92598,             0.47173,            0.043272,            0.099725,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.048848,              0.1102,                   0,             0.91455,             0.84732,             0.92822,             0.45681,            0.042757,            0.097343,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.050381,             0.11527,                   0,             0.93025,             0.85521,             0.93947,             0.50061,            0.040876,             0.09548,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.050151,              0.1161,                   0,               0.946,             0.85759,               0.935,             0.49399,            0.042146,            0.096372,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.049961,             0.11462,                   0,             0.93381,              0.8375,             0.92859,             0.47711,            0.044011,            0.096882,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.051881,             0.10948,                   0,             0.95127,             0.85625,             0.93703,             0.49964,             0.04056,            0.094495,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.051662,             0.10694,                   0,             0.93811,             0.85104,             0.93848,              0.4849,            0.041182,            0.096249,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.050339,             0.11696,                   0,             0.93909,             0.86719,             0.94237,             0.50994,            0.040074,            0.095354,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.049066,             0.11624,                   0,             0.92965,             0.86146,             0.93712,              0.5035,            0.040377,            0.095338,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.048471,             0.11376,                   0,             0.93806,             0.84583,             0.93698,              0.5088,            0.040079,             0.09565,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.050055,             0.10492,                   0,             0.92919,             0.86119,             0.94194,             0.49248,            0.040887,            0.095379,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.048814,             0.11039,                   0,             0.92879,             0.86979,             0.94086,             0.50171,            0.040339,            0.096102,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.050072,             0.11457,                   0,             0.92792,             0.87161,             0.94127,             0.50519,            0.040824,            0.095238,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.050619,             0.11676,                   0,             0.93519,             0.87181,             0.94693,             0.49845,            0.040319,            0.095502,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.047775,             0.10925,                   0,             0.94598,             0.84375,             0.93644,             0.49198,            0.040535,            0.095359,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.048705,              0.1117,                   0,             0.93467,             0.86562,              0.9424,             0.51212,            0.039717,            0.093949,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.049366,             0.10743,                   0,             0.92994,             0.86146,             0.93823,             0.48765,            0.040796,            0.094928,                   0,            0.003004,            0.003004,            0.003004
                 108,             0.04857,             0.11148,                   0,             0.93431,              0.8625,             0.94236,             0.50634,            0.039623,            0.094426,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.048644,             0.11041,                   0,             0.93948,             0.85703,             0.93846,             0.50329,             0.03987,            0.094238,                   0,            0.002872,            0.002872,            0.002872
                 110,             0.04814,             0.10998,                   0,             0.94034,              0.8538,             0.93976,             0.49797,            0.040251,            0.094966,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.048228,             0.10658,                   0,             0.92649,             0.85332,             0.93573,             0.49225,             0.04093,            0.095471,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.050079,             0.11481,                   0,             0.93366,             0.86979,             0.93997,             0.51249,            0.039381,            0.093738,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.048772,             0.11291,                   0,             0.94439,             0.85104,             0.93934,             0.50428,            0.040399,            0.094494,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.048084,             0.10769,                   0,             0.94134,             0.85246,              0.9405,             0.51119,            0.039536,            0.093541,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.046953,             0.11118,                   0,             0.94592,             0.86042,             0.94335,             0.51892,            0.039004,            0.093716,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.046095,             0.10797,                   0,             0.94051,             0.85729,             0.94159,             0.51351,            0.039401,            0.093477,                   0,             0.00241,             0.00241,             0.00241
